Question ID,content,answer,correct_format,coerce,Reasoning,Answer,A,B,C,D,E,correct_answer,model,dataset
11,"{
""Reasoning"": ""The passage explicitly states the bridge is 'an admirable vantage ground' to observe the procession of educated men, shifting from its typical use for dreaming to actively focusing on this sight. While it mentions the view includes landmarks (option C) and briefly notes reflection (option A), the core purpose emphasized is practical observation. Symbolism (option D) is less directly supported than the literal vantage point."",
""Answer"": ""B"",
""A"": 0.1,
""B"": 0.8,
""C"": 0.05,
""D"": 0.05
}",B,True,False,"The passage explicitly states the bridge is 'an admirable vantage ground' to observe the procession of educated men, shifting from its typical use for dreaming to actively focusing on this sight. While it mentions the view includes landmarks (option C) and briefly notes reflection (option A), the core purpose emphasized is practical observation. Symbolism (option D) is less directly supported than the literal vantage point.",B,0.1,0.8,0.05,0.05,0.0,B,deepseek_r1,sat_en
10,"{
""Reasoning"": ""The passage centers on women's urgent need to decide whether to join male-dominated professions ('the procession'), questioning the terms and purpose of participation. It emphasizes active deliberation ('Think we must') about engaging with institutions, without asserting that women must abandon roles (B), focusing solely on male power's effects (C), or guaranteeing transformation (D). Option A captures this decision-point directly."",
""Answer"": ""A"",
""A"": 0.95,
""B"": 0.02,
""C"": 0.02,
""D"": 0.01
}",A,True,False,"The passage centers on women's urgent need to decide whether to join male-dominated professions ('the procession'), questioning the terms and purpose of participation. It emphasizes active deliberation ('Think we must') about engaging with institutions, without asserting that women must abandon roles (B), focusing solely on male power's effects (C), or guaranteeing transformation (D). Option A captures this decision-point directly.",A,0.95,0.02,0.02,0.01,0.0,A,deepseek_r1,sat_en
12,"{
  ""Reasoning"": ""The passage explicitly states that 'for the past twenty years or so... we go ourselves' (women joining the procession), directly indicating reduced exclusivity. Option D captures this inclusion, while A/B/C lack textual support: no mention of increased influence (A), public celebration (B), or exclusivity to the richest men (C). Confidence is high due to explicit evidence."",
  ""Answer"": ""D"",
  ""A"": 0.1,
  ""B"": 0.1,
  ""C"": 0.1,
  ""D"": 0.7
}",D,True,False,"The passage explicitly states that 'for the past twenty years or so... we go ourselves' (women joining the procession), directly indicating reduced exclusivity. Option D captures this inclusion, while A/B/C lack textual support: no mention of increased influence (A), public celebration (B), or exclusivity to the richest men (C). Confidence is high due to explicit evidence.",D,0.1,0.1,0.1,0.7,0.0,D,deepseek_r1,sat_en
14,"{
  ""Reasoning"": ""Passage 2 acknowledges space mining's economic potential but emphasizes the need to pause and consider ethical/environmental consequences (lines 55-65), legal gaps (lines 75-80), and the necessity for consensus (lines 85-87). It directly supports option B's focus on thoughtful consideration before implementation."",
  ""Answer"": ""B"",
  ""A"": 0.1,
  ""B"": 0.85,
  ""C"": 0.03,
  ""D"": 0.02
}",B,True,False,"Passage 2 acknowledges space mining's economic potential but emphasizes the need to pause and consider ethical/environmental consequences (lines 55-65), legal gaps (lines 75-80), and the necessity for consensus (lines 85-87). It directly supports option B's focus on thoughtful consideration before implementation.",B,0.1,0.85,0.03,0.02,0.0,B,deepseek_r1,sat_en
13,"{
""Reasoning"": ""Passage 1 explicitly states space mining could 'meet earthly demands for precious metals... and rare earth elements vital for personal electronics' (lines 19-22), directly supporting Option A. Option B (value increase) isn't mentioned. Option C (unanticipated innovations) is implied in Passage 2 but not emphasized in Passage 1. Option D (changing scientific understanding) is not discussed."",
""Answer"": ""A"",
""A"": 0.95,
""B"": 0.02,
""C"": 0.02,
""D"": 0.01
}",A,True,False,"Passage 1 explicitly states space mining could 'meet earthly demands for precious metals... and rare earth elements vital for personal electronics' (lines 19-22), directly supporting Option A. Option B (value increase) isn't mentioned. Option C (unanticipated innovations) is implied in Passage 2 but not emphasized in Passage 1. Option D (changing scientific understanding) is not discussed.",A,0.95,0.02,0.02,0.01,0.0,A,deepseek_r1,sat_en
15,"{
  ""Reasoning"": ""Passage 1 details the economic potential and technological advancements of space mining, while Passage 2 acknowledges these developments but raises ethical, environmental, and regulatory concerns. Passage 2 does not refute Passage 1's claims (A), illustrate the same phenomenon (B), or argue against practicality (C). Instead, it expresses reservations about the implications of the developments discussed in Passage 1, making D the best fit. Confidence is high as this directly aligns with Passage 2's critical tone."",
  ""Answer"": ""D"",
  ""A"": 0.05,
  ""B"": 0.1,
  ""C"": 0.15,
  ""D"": 0.7
}",D,True,False,"Passage 1 details the economic potential and technological advancements of space mining, while Passage 2 acknowledges these developments but raises ethical, environmental, and regulatory concerns. Passage 2 does not refute Passage 1's claims (A), illustrate the same phenomenon (B), or argue against practicality (C). Instead, it expresses reservations about the implications of the developments discussed in Passage 1, making D the best fit. Confidence is high as this directly aligns with Passage 2's critical tone.",D,0.05,0.1,0.15,0.7,0.0,D,deepseek_r1,sat_en
16,"{
  ""Reasoning"": ""Passage 1 implies water's high value in space (unlike Earth's valuation of gold) but doesn't explicitly state that space resources differ from Earth's. Passage 2 explicitly states: 'The resources that are valuable in orbit and beyond may be very different to those we prize on Earth.' This matches option A. Other options lack direct/implicit support."",
  ""Answer"": ""A"",
  ""A"": 0.95,
  ""B"": 0.02,
  ""C"": 0.02,
  ""D"": 0.01
}",A,True,False,Passage 1 implies water's high value in space (unlike Earth's valuation of gold) but doesn't explicitly state that space resources differ from Earth's. Passage 2 explicitly states: 'The resources that are valuable in orbit and beyond may be very different to those we prize on Earth.' This matches option A. Other options lack direct/implicit support.,A,0.95,0.02,0.02,0.01,0.0,A,deepseek_r1,sat_en
18,"{
""Reasoning"": ""The passage depicts Threestep as isolated ('poorest, darkest, most remote and forgotten corner'), with a one-room schoolhouse serving multiple grades, and residents enduring economic hardship ('Hard times were still upon us'). These details—combined with the contrast to Miss Spivey's cosmopolitan background—clearly present it as a small rural town. Options A, C, and D lack support: no vacationers are mentioned, no university exists (Barnard is referenced as Miss Spivey's alma mater elsewhere), and 'comfortable suburb' contradicts the remote setting and economic struggles."",
""Answer"": ""B"",
""A"": 0.05,
""B"": 0.90,
""C"": 0.03,
""D"": 0.02
}",B,True,False,"The passage depicts Threestep as isolated ('poorest, darkest, most remote and forgotten corner'), with a one-room schoolhouse serving multiple grades, and residents enduring economic hardship ('Hard times were still upon us'). These details—combined with the contrast to Miss Spivey's cosmopolitan background—clearly present it as a small rural town. Options A, C, and D lack support: no vacationers are mentioned, no university exists (Barnard is referenced as Miss Spivey's alma mater elsewhere), and 'comfortable suburb' contradicts the remote setting and economic struggles.",B,0.05,0.9,0.03,0.02,0.0,B,deepseek_r1,sat_en
17,"{
""Reasoning"": ""The narrator uses first-person perspective ('I believe,' 'my momma,' 'my little brother Ralphord') and describes being present in Miss Spivey's classroom with other students. They recount direct experiences (e.g., the map reveal, Ralphord's question), confirming they were a student. Miss Spivey is referred to in third person, ruling out D. Miss Chandler is the predecessor (B), and the narrator's specific classroom presence makes C too vague."",
""Answer"": ""A"",
""A"": 0.95,
""B"": 0.02,
""C"": 0.03,
""D"": 0.00
}",A,True,False,"The narrator uses first-person perspective ('I believe,' 'my momma,' 'my little brother Ralphord') and describes being present in Miss Spivey's classroom with other students. They recount direct experiences (e.g., the map reveal, Ralphord's question), confirming they were a student. Miss Spivey is referred to in third person, ruling out D. Miss Chandler is the predecessor (B), and the narrator's specific classroom presence makes C too vague.",A,0.95,0.02,0.03,0.0,0.0,A,deepseek_r1,sat_en
19,"{
  ""Reasoning"": ""The passage explicitly states that Miss Spivey's remark about the heat 'irritated some of the people' because 'when folks are sweating through their shorts, they don’t like to hear that this is nothing compared to someplace else.' This directly supports option D, showing resentment from minimizing their discomfort. Options A-C lack textual evidence: no sympathy (A) is indicated, disappointment about her staying (B) is unsupported, and while her background implies superiority, the heat-comment reaction specifically focuses on irritation, not embarrassment (C). Confidence is high due to explicit wording."",
  ""Answer"": ""D"",
  ""A"": 0.05,
  ""B"": 0.05,
  ""C"": 0.1,
  ""D"": 0.8
}",D,True,False,"The passage explicitly states that Miss Spivey's remark about the heat 'irritated some of the people' because 'when folks are sweating through their shorts, they don’t like to hear that this is nothing compared to someplace else.' This directly supports option D, showing resentment from minimizing their discomfort. Options A-C lack textual evidence: no sympathy (A) is indicated, disappointment about her staying (B) is unsupported, and while her background implies superiority, the heat-comment reaction specifically focuses on irritation, not embarrassment (C). Confidence is high due to explicit wording.",D,0.05,0.05,0.1,0.8,0.0,D,deepseek_r1,sat_en
22,"{
""Reasoning"": ""The passage describes students pausing to think hard after Miss Spivey's camel announcement, needing Mavis to contextualize it biblically. Their delayed understanding and lack of immediate amazement indicate confusion, not delight or worry. 'Baffled' best captures their struggle to reconcile exotic camels with their limited worldview."",
""Answer"": ""C"",
""A"": 0.05,
""B"": 0.15,
""C"": 0.75,
""D"": 0.05
}",C,True,False,"The passage describes students pausing to think hard after Miss Spivey's camel announcement, needing Mavis to contextualize it biblically. Their delayed understanding and lack of immediate amazement indicate confusion, not delight or worry. 'Baffled' best captures their struggle to reconcile exotic camels with their limited worldview.",C,0.05,0.15,0.75,0.05,0.0,C,deepseek_r1,sat_en
21,"{
  ""Reasoning"": ""The passage directly states that after being inspired by John Dewey, Miss Spivey told a WPA representative she wanted to teach in the most remote area of America, and 'They sent her to Threestep, Georgia.' This is the explicit cause. Her friendship (A) and education (B) provided background but weren't the direct trigger. Miss Chandler's retirement (D) is never mentioned."",
  ""Answer"": ""C"",
  ""A"": 0.0,
  ""B"": 0.1,
  ""C"": 0.9,
  ""D"": 0.0
}",C,True,False,"The passage directly states that after being inspired by John Dewey, Miss Spivey told a WPA representative she wanted to teach in the most remote area of America, and 'They sent her to Threestep, Georgia.' This is the explicit cause. Her friendship (A) and education (B) provided background but weren't the direct trigger. Miss Chandler's retirement (D) is never mentioned.",C,0.0,0.1,0.9,0.0,0.0,C,deepseek_r1,sat_en
23,"{
""Reasoning"": ""The passage states that early 1990s textbooks claimed pressure/vibration sensations traveled exclusively via fast fibers. Experiments showed blocking fast fibers eliminated pressure sensation. Since vibrations were also believed to rely on these fibers, textbook authors would logically expect vibration perception impairment when fast fibers are blocked. No evidence suggests compensation (C), altered firing rates (A), or pain perception changes (B). Confidence is high due to explicit passage support."",
""Answer"": ""D"",
""A"": 0.05,
""B"": 0.05,
""C"": 0.1,
""D"": 0.8
}",D,True,False,"The passage states that early 1990s textbooks claimed pressure/vibration sensations traveled exclusively via fast fibers. Experiments showed blocking fast fibers eliminated pressure sensation. Since vibrations were also believed to rely on these fibers, textbook authors would logically expect vibration perception impairment when fast fibers are blocked. No evidence suggests compensation (C), altered firing rates (A), or pain perception changes (B). Confidence is high due to explicit passage support.",D,0.05,0.05,0.1,0.8,0.0,D,deepseek_r1,sat_en
20,"{
  ""Reasoning"": ""The interaction shows Miss Spivey correcting Ralphord's mishearing of 'Barnard' as 'Barnyard,' then assuming the children know Columbia University. This highlights her disconnect from the students' remote, impoverished context, suggesting she overestimates their familiarity with elite institutions. Option A captures this best, while others misrepresent the tone (B/C overstate warmth/dismissiveness; D misreads intent). Confidence is high due to clear textual evidence."",
  ""Answer"": ""A"",
  ""A"": 0.85,
  ""B"": 0.05,
  ""C"": 0.05,
  ""D"": 0.05
}",A,True,False,"The interaction shows Miss Spivey correcting Ralphord's mishearing of 'Barnard' as 'Barnyard,' then assuming the children know Columbia University. This highlights her disconnect from the students' remote, impoverished context, suggesting she overestimates their familiarity with elite institutions. Option A captures this best, while others misrepresent the tone (B/C overstate warmth/dismissiveness; D misreads intent). Confidence is high due to clear textual evidence.",A,0.85,0.05,0.05,0.05,0.0,A,deepseek_r1,sat_en
24,"{
  ""Reasoning"": ""The 1993 experiment recorded nerve signals during gentle arm brushing, revealing both immediate (fast fiber) and delayed (slow fiber) responses. This directly demonstrates that gentle pressure activates slow fibers alongside fast fibers, supporting option C. Option A is unsupported as the experiment didn't compare body locations. Option B misattributes speed differences to hair presence rather than myelination. Option D isn't tested, as pressure strength wasn't varied."",
  ""Answer"": ""C"",
  ""A"": 0.05,
  ""B"": 0.05,
  ""C"": 0.85,
  ""D"": 0.05
}",C,True,False,"The 1993 experiment recorded nerve signals during gentle arm brushing, revealing both immediate (fast fiber) and delayed (slow fiber) responses. This directly demonstrates that gentle pressure activates slow fibers alongside fast fibers, supporting option C. Option A is unsupported as the experiment didn't compare body locations. Option B misattributes speed differences to hair presence rather than myelination. Option D isn't tested, as pressure strength wasn't varied.",C,0.05,0.05,0.85,0.05,0.0,C,deepseek_r1,sat_en
26,"{
  ""Reasoning"": ""The passage states that in normal subjects, gentle brushing activated both somatosensory and insular cortices, but in patient G.L. (with damaged fast-conducting fibers), only the insular cortex was activated. This directly supports option A. No information suggests differences in cortex dimensions (B), signal intensity requirements (C), or MRI effects (D)."",
  ""Answer"": ""A"",
  ""A"": 0.95,
  ""B"": 0.02,
  ""C"": 0.02,
  ""D"": 0.01
}",A,True,False,"The passage states that in normal subjects, gentle brushing activated both somatosensory and insular cortices, but in patient G.L. (with damaged fast-conducting fibers), only the insular cortex was activated. This directly supports option A. No information suggests differences in cortex dimensions (B), signal intensity requirements (C), or MRI effects (D).",A,0.95,0.02,0.02,0.01,0.0,A,deepseek_r1,sat_en
27,"{
""Reasoning"": ""The passage establishes that CT fibers, when stimulated by gentle touch (e.g., brushing hairy skin), activate the insular cortex (associated with emotion) and produce pleasant sensations, as shown in patient G.L. and fMRI studies. Option B directly reflects this mechanism. Options A, C, and D lack support: A misrepresents cortical activity; C confuses pain suppression with CT function; D inaccurately suggests ignoring conscious aspects rather than CT-specific signaling."",
""Answer"": ""B"",
""A"": 0.05,
""B"": 0.90,
""C"": 0.03,
""D"": 0.02
}",B,True,False,"The passage establishes that CT fibers, when stimulated by gentle touch (e.g., brushing hairy skin), activate the insular cortex (associated with emotion) and produce pleasant sensations, as shown in patient G.L. and fMRI studies. Option B directly reflects this mechanism. Options A, C, and D lack support: A misrepresents cortical activity; C confuses pain suppression with CT function; D inaccurately suggests ignoring conscious aspects rather than CT-specific signaling.",B,0.05,0.9,0.03,0.02,0.0,B,deepseek_r1,sat_en
25,"{
  ""Reasoning"": ""The 1999 experiment focused on characterizing CT fibers' sensitivity to gentle touch and unresponsiveness to pain (lines 38-42). This directly addresses understanding the specific sensations CT fibers convey, aligning with option A. While other options relate to later findings (B, D) or peripheral details (C), the 1999 work centered on defining sensory capabilities."",
  ""Answer"": ""A"",
  ""A"": 0.85,
  ""B"": 0.05,
  ""C"": 0.05,
  ""D"": 0.05
}",A,True,False,"The 1999 experiment focused on characterizing CT fibers' sensitivity to gentle touch and unresponsiveness to pain (lines 38-42). This directly addresses understanding the specific sensations CT fibers convey, aligning with option A. While other options relate to later findings (B, D) or peripheral details (C), the 1999 work centered on defining sensory capabilities.",A,0.85,0.05,0.05,0.05,0.0,A,deepseek_r1,sat_en
29,"{
  ""Reasoning"": ""Passage 2 explicitly states that God 'placed in every human heart the love of liberty' and that no race 'would welcome a foreign master.' Bryan frames the preference for sovereignty as an intrinsic, universal human trait, not a reaction to modern empires (A), evidence of widespread equality beliefs (B), or a result of U.S. policy (C). The language ('God himself,' 'every human heart') confirms this as innate. Confidence is high due to direct textual support."",
  ""Answer"": ""D"",
  ""A"": 0.05,
  ""B"": 0.05,
  ""C"": 0.05,
  ""D"": 0.85
}",D,True,False,"Passage 2 explicitly states that God 'placed in every human heart the love of liberty' and that no race 'would welcome a foreign master.' Bryan frames the preference for sovereignty as an intrinsic, universal human trait, not a reaction to modern empires (A), evidence of widespread equality beliefs (B), or a result of U.S. policy (C). The language ('God himself,' 'every human heart') confirms this as innate. Confidence is high due to direct textual support.",D,0.05,0.05,0.05,0.85,0.0,D,deepseek_r1,sat_en
28,"{
""Reasoning"": ""Passage 1 opens by describing America as 'a noble land that God has given us' and repeatedly attributes its resources, people, and destiny to divine bestowal (e.g., 'a glorious history our God has bestowed'). This directly supports option C. No mention of invasion safeguards (A), European replication (B), or foreign envy (D) occurs in these assertions."",
""Answer"": ""C"",
""A"": 0.05,
""B"": 0.05,
""C"": 0.85,
""D"": 0.05
}",C,True,False,"Passage 1 opens by describing America as 'a noble land that God has given us' and repeatedly attributes its resources, people, and destiny to divine bestowal (e.g., 'a glorious history our God has bestowed'). This directly supports option C. No mention of invasion safeguards (A), European replication (B), or foreign envy (D) occurs in these assertions.",C,0.05,0.05,0.85,0.05,0.0,C,deepseek_r1,sat_en
30,"{
""Reasoning"": ""Both passages express admiration for the United States' foundational principles and historical achievements. Beveridge (Passage 1) glorifies America's territorial expansion, historical heroes, and divine mission. Bryan (Passage 2) reveres founding figures like Henry, Jefferson, and Lincoln for establishing ideals of liberty and self-government. Neither emphasizes cultural diversity (B), global independence struggles (C), or broad societal idealism (D) as centrally as America's origin story. Confidence is high due to explicit textual evidence."",
""Answer"": ""A"",
""A"": 0.85,
""B"": 0.05,
""C"": 0.05,
""D"": 0.05
}",A,True,False,"Both passages express admiration for the United States' foundational principles and historical achievements. Beveridge (Passage 1) glorifies America's territorial expansion, historical heroes, and divine mission. Bryan (Passage 2) reveres founding figures like Henry, Jefferson, and Lincoln for establishing ideals of liberty and self-government. Neither emphasizes cultural diversity (B), global independence struggles (C), or broad societal idealism (D) as centrally as America's origin story. Confidence is high due to explicit textual evidence.",A,0.85,0.05,0.05,0.05,0.0,A,deepseek_r1,sat_en
32,"{
""Reasoning"": ""Bryan's core argument in Passage 2 is that imperialism violates the principle of self-government and that no people willingly accept foreign rule. He explicitly states 'God himself... placed in every human heart the love of liberty' and that no race 'would welcome a foreign master.' This directly challenges Beveridge's assumption (Passage 1) that islanders would embrace American governance. Bryan would deem Beveridge's vision naive for overlooking this inherent resistance. Options A-C are not supported by Bryan's emphasis on liberty and self-determination."",
""Answer"": ""D"",
""A"": 0.05,
""B"": 0.1,
""C"": 0.05,
""D"": 0.8
}",D,True,False,Bryan's core argument in Passage 2 is that imperialism violates the principle of self-government and that no people willingly accept foreign rule. He explicitly states 'God himself... placed in every human heart the love of liberty' and that no race 'would welcome a foreign master.' This directly challenges Beveridge's assumption (Passage 1) that islanders would embrace American governance. Bryan would deem Beveridge's vision naive for overlooking this inherent resistance. Options A-C are not supported by Bryan's emphasis on liberty and self-determination.,D,0.05,0.1,0.05,0.8,0.0,D,deepseek_r1,sat_en
31,"{
""Reasoning"": ""Beveridge portrays liberty as justifying U.S. imperial conquest to spread its model ('propagandists of liberty'), while Bryan argues imperialism betrays core principles of self-government, warning it weakens liberty domestically. Beveridge's expansionist view contrasts sharply with Bryan's anti-imperialist stance rooted in foundational values. Option B captures this divergence accurately, with high confidence as passages directly support it."",
""Answer"": ""B"",
""A"": 0.05,
""B"": 0.85,
""C"": 0.05,
""D"": 0.05
}",B,True,False,"Beveridge portrays liberty as justifying U.S. imperial conquest to spread its model ('propagandists of liberty'), while Bryan argues imperialism betrays core principles of self-government, warning it weakens liberty domestically. Beveridge's expansionist view contrasts sharply with Bryan's anti-imperialist stance rooted in foundational values. Option B captures this divergence accurately, with high confidence as passages directly support it.",B,0.05,0.85,0.05,0.05,0.0,B,deepseek_r1,sat_en
33,"{
  ""Reasoning"": ""The passage explicitly states that exposure to light stimulates seed germination, as demonstrated by Sauer/Struik's experiment (light-stirred samples had more weed growth) and Hartmann's plowing trials (daytime plowing exposed seeds to light, causing germination). Germination is the process where seeds begin to develop. Options B, C, and D lack support: no mention of nutrients, temperature tolerance, or maximum growth linked to light."",
  ""Answer"": ""A"",
  ""A"": 0.98,
  ""B"": 0.01,
  ""C"": 0.005,
  ""D"": 0.005
}",A,True,False,"The passage explicitly states that exposure to light stimulates seed germination, as demonstrated by Sauer/Struik's experiment (light-stirred samples had more weed growth) and Hartmann's plowing trials (daytime plowing exposed seeds to light, causing germination). Germination is the process where seeds begin to develop. Options B, C, and D lack support: no mention of nutrients, temperature tolerance, or maximum growth linked to light.",A,0.98,0.01,0.005,0.005,0.0,A,deepseek_r1,sat_en
