Question ID,content,answer,correct_format,coerce,Reasoning,Answer,A,B,C,D,correct_answer,model,dataset
10,"{
""Reasoning"": ""The passage focuses on women's newfound ability to join the 'procession of educated men' and emphasizes the critical decision they face. The narrator repeatedly asks whether women should join this procession and 'on what terms,' highlighting this as a moment of transition where women must decide how to engage with traditional male institutions. The passage doesn't primarily argue about giving up roles, male monopoly effects, or transformation of positions, but rather centers on the choice women now have."",
""Answer"": ""A"",
""A"": 0.85,
""B"": 0.05,
""C"": 0.05,
""D"": 0.05
}",A,True,True,"The passage focuses on women's newfound ability to join the 'procession of educated men' and emphasizes the critical decision they face. The narrator repeatedly asks whether women should join this procession and 'on what terms,' highlighting this as a moment of transition where women must decide how to engage with traditional male institutions. The passage doesn't primarily argue about giving up roles, male monopoly effects, or transformation of positions, but rather centers on the choice women now have.",A,0.85,0.05,0.05,0.05,A,claude-sonnet-4-20250514,sat_en
11,"{
""Reasoning"": ""The passage explicitly states that the bridge is 'an admirable vantage ground for us to make a survey' and describes how from there one can see 'the procession of the sons of educated men' going about their activities - 'mounting those steps, passing in and out of those doors, ascending those pulpits.' The bridge provides a literal viewpoint to observe the educated men's activities across the city."",
""Answer"": ""B"",
""A"": ""0.1"",
""B"": ""0.8"",
""C"": ""0.05"",
""D"": ""0.05""
}",B,True,True,"The passage explicitly states that the bridge is 'an admirable vantage ground for us to make a survey' and describes how from there one can see 'the procession of the sons of educated men' going about their activities - 'mounting those steps, passing in and out of those doors, ascending those pulpits.' The bridge provides a literal viewpoint to observe the educated men's activities across the city.",B,0.1,0.8,0.05,0.05,B,claude-sonnet-4-20250514,sat_en
12,"{
""Reasoning"": ""The passage describes a 'procession of the sons of educated men' and notes a key change: 'for the past twenty years or so, it is no longer a sight merely... For there, trapesing along at the tail end of the procession, we go ourselves.' Woolf indicates that women ('we') can now join this previously male-only procession of educated professionals. This represents decreased exclusion, as women have gained access to education and professions previously reserved for men."",
""Answer"": ""D"",
""A"": ""0.1"",
""B"": ""0.1"", 
""C"": ""0.1"",
""D"": ""0.7""
}",D,True,True,"The passage describes a 'procession of the sons of educated men' and notes a key change: 'for the past twenty years or so, it is no longer a sight merely... For there, trapesing along at the tail end of the procession, we go ourselves.' Woolf indicates that women ('we') can now join this previously male-only procession of educated professionals. This represents decreased exclusion, as women have gained access to education and professions previously reserved for men.",D,0.1,0.1,0.1,0.7,D,claude-sonnet-4-20250514,sat_en
13,"{
""Reasoning"": ""The passage explicitly states that space mining firms 'may be meeting earthly demands for precious metals, such as platinum and gold, and the rare earth elements vital for personal electronics, such as yttrium and lanthanum.' This directly indicates that space mining could yield materials important to Earth's economy. The other options are not supported by the text."",
""Answer"": ""A"",
""A"": ""0.95"",
""B"": ""0.02"",
""C"": ""0.02"",
""D"": ""0.01""
}",A,True,True,"The passage explicitly states that space mining firms 'may be meeting earthly demands for precious metals, such as platinum and gold, and the rare earth elements vital for personal electronics, such as yttrium and lanthanum.' This directly indicates that space mining could yield materials important to Earth's economy. The other options are not supported by the text.",A,0.95,0.02,0.02,0.01,A,claude-sonnet-4-20250514,sat_en
14,"{
""Reasoning"": ""Passage 2 acknowledges space mining's positive potential ('mineral bounty and spin-off technologies could enrich us all') but emphasizes the need for careful consideration before proceeding. The author states 'we should pause for thought' and that consequences 'merit careful consideration.' The passage discusses principles, environmental concerns, legal frameworks, and the need for consensus - all pointing to thoughtful deliberation before implementation."",
""Answer"": ""B"",
""A"": ""0.1"",
""B"": ""0.8"",
""C"": ""0.05"",
""D"": ""0.05""
}",B,True,True,"Passage 2 acknowledges space mining's positive potential ('mineral bounty and spin-off technologies could enrich us all') but emphasizes the need for careful consideration before proceeding. The author states 'we should pause for thought' and that consequences 'merit careful consideration.' The passage discusses principles, environmental concerns, legal frameworks, and the need for consensus - all pointing to thoughtful deliberation before implementation.",B,0.1,0.8,0.05,0.05,B,claude-sonnet-4-20250514,sat_en
15,"{
""Reasoning"": ""Passage 1 presents space mining as an exciting economic opportunity, describing various companies and their plans to extract resources from asteroids and the moon. Passage 2 acknowledges the economic potential but expresses concerns about environmental principles, regulatory frameworks, and the need for careful consideration before proceeding. Passage 2 doesn't refute space mining's viability or argue it's impractical, but rather calls for thoughtful regulation and consideration of consequences."",
""Answer"": ""D"",
""A"": 0.1,
""B"": 0.1,
""C"": 0.2,
""D"": 0.6
}",D,True,True,"Passage 1 presents space mining as an exciting economic opportunity, describing various companies and their plans to extract resources from asteroids and the moon. Passage 2 acknowledges the economic potential but expresses concerns about environmental principles, regulatory frameworks, and the need for careful consideration before proceeding. Passage 2 doesn't refute space mining's viability or argue it's impractical, but rather calls for thoughtful regulation and consideration of consequences.",D,0.1,0.1,0.2,0.6,D,claude-sonnet-4-20250514,sat_en
16,"{
""Reasoning"": ""Passage 1 implicitly suggests that space resources may differ from Earth's valuable resources by emphasizing water as 'the most desired commodity' in space, contrasting it with gold's uselessness there. Passage 2 explicitly states 'The resources that are valuable in orbit and beyond may be very different to those we prize on Earth.' This directly matches option A. The other options aren't supported by both passages in the required implicit/explicit manner."",
""Answer"": ""A"",
""A"": 0.9,
""B"": 0.05,
""C"": 0.03,
""D"": 0.02
}",A,True,True,"Passage 1 implicitly suggests that space resources may differ from Earth's valuable resources by emphasizing water as 'the most desired commodity' in space, contrasting it with gold's uselessness there. Passage 2 explicitly states 'The resources that are valuable in orbit and beyond may be very different to those we prize on Earth.' This directly matches option A. The other options aren't supported by both passages in the required implicit/explicit manner.",A,0.9,0.05,0.03,0.02,A,claude-sonnet-4-20250514,sat_en
17,"{
""Reasoning"": ""The narrator uses first-person pronouns ('I believe,' 'my momma,' 'my little brother Ralphord') and describes being present in Miss Spivey's classroom ('all twenty-six of us across seven grade levels'). The narrator has intimate knowledge of the students and community, mentions personal family members, and describes events from a student's perspective in the classroom. This clearly indicates the narrator was one of Miss Spivey's students, not an anonymous community member, predecessor, or Miss Spivey herself."",
""Answer"": ""A"",
""A"": 0.95,
""B"": 0.01,
""C"": 0.03,
""D"": 0.01
}",A,True,True,"The narrator uses first-person pronouns ('I believe,' 'my momma,' 'my little brother Ralphord') and describes being present in Miss Spivey's classroom ('all twenty-six of us across seven grade levels'). The narrator has intimate knowledge of the students and community, mentions personal family members, and describes events from a student's perspective in the classroom. This clearly indicates the narrator was one of Miss Spivey's students, not an anonymous community member, predecessor, or Miss Spivey herself.",A,0.95,0.01,0.03,0.01,A,claude-sonnet-4-20250514,sat_en
18,"{
""Reasoning"": ""The passage describes Threestep, Georgia as a place where people gather at train tracks on 'burned grass,' where citizens are experiencing 'hard times' in 1938, and where the WPA sent Miss Spivey to bring education to 'the poorest, darkest, most remote and forgotten corner of America.' The one-room schoolhouse with 26 students across seven grade levels further indicates a small, rural community rather than a vacation spot, university town, or suburb."",
""Answer"": ""B"",
""A"": 0.0,
""B"": 0.95,
""C"": 0.0,
""D"": 0.05
}",B,True,True,"The passage describes Threestep, Georgia as a place where people gather at train tracks on 'burned grass,' where citizens are experiencing 'hard times' in 1938, and where the WPA sent Miss Spivey to bring education to 'the poorest, darkest, most remote and forgotten corner of America.' The one-room schoolhouse with 26 students across seven grade levels further indicates a small, rural community rather than a vacation spot, university town, or suburb.",B,0.0,0.95,0.0,0.05,B,claude-sonnet-4-20250514,sat_en
19,"{
""Reasoning"": ""The passage states that Miss Spivey's remark about Georgia's heat being 'nothing compared to 119 degrees in Timbuktu' irritated some people. The narrator explains: 'When folks are sweating through their shorts, they don't like to hear that this is nothing compared to someplace else.' This clearly indicates the townspeople felt she was dismissing or minimizing their current discomfort by comparing it unfavorably to her exotic travels."",
""Answer"": ""D"",
""A"": 0.0,
""B"": 0.0,
""C"": 0.1,
""D"": 0.9
}",D,True,True,"The passage states that Miss Spivey's remark about Georgia's heat being 'nothing compared to 119 degrees in Timbuktu' irritated some people. The narrator explains: 'When folks are sweating through their shorts, they don't like to hear that this is nothing compared to someplace else.' This clearly indicates the townspeople felt she was dismissing or minimizing their current discomfort by comparing it unfavorably to her exotic travels.",D,0.0,0.0,0.1,0.9,D,claude-sonnet-4-20250514,sat_en
20,"{
""Reasoning"": ""The passage shows two key interactions between Miss Spivey and Ralphord: first, when he mispronounces 'Barnard' as 'Barnyard' College, and second, when Miss Spivey 'avoided my brother Ralphord's eye' after pausing for questions. Miss Spivey expects the students to know about Columbia University ('of which, she expected, we all had heard') despite them being in a remote, poor Georgia town. This suggests she overestimates what should be common knowledge for these rural students."",
""Answer"": ""A"",
""A"": 0.85,
""B"": 0.05,
""C"": 0.05,
""D"": 0.05
}",A,True,True,"The passage shows two key interactions between Miss Spivey and Ralphord: first, when he mispronounces 'Barnard' as 'Barnyard' College, and second, when Miss Spivey 'avoided my brother Ralphord's eye' after pausing for questions. Miss Spivey expects the students to know about Columbia University ('of which, she expected, we all had heard') despite them being in a remote, poor Georgia town. This suggests she overestimates what should be common knowledge for these rural students.",A,0.85,0.05,0.05,0.05,A,claude-sonnet-4-20250514,sat_en
21,"{
""Reasoning"": ""The passage states that Miss Spivey told 'a cheery blue-suited woman from the WPA that she wanted to bring democracy and education to the poorest, darkest, most remote and forgotten corner of America. They sent her to Threestep, Georgia.' This directly shows that her conversation with the WPA woman led to her assignment in Threestep. While her college experience influenced her mission, the direct result of ending up in Threestep was the WPA conversation."",
""Answer"": ""C"",
""A"": 0.1,
""B"": 0.2,
""C"": 0.7,
""D"": 0.0
}",C,True,True,"The passage states that Miss Spivey told 'a cheery blue-suited woman from the WPA that she wanted to bring democracy and education to the poorest, darkest, most remote and forgotten corner of America. They sent her to Threestep, Georgia.' This directly shows that her conversation with the WPA woman led to her assignment in Threestep. While her college experience influenced her mission, the direct result of ending up in Threestep was the WPA conversation.",C,0.1,0.2,0.7,0.0,C,claude-sonnet-4-20250514,sat_en
22,"{
""Reasoning"": ""The passage describes the students' reaction to Miss Spivey's camel story: 'We all hung there for a minute, thinking hard' until Mavis had to explain the reference to the three kings. This indicates confusion and uncertainty rather than delight or fascination. The phrase 'thinking hard' suggests they were puzzled and trying to understand the significance of camels."",
""Answer"": ""C"",
""A"": 0.1,
""B"": 0.1,
""C"": 0.8,
""D"": 0.0
}",C,True,True,"The passage describes the students' reaction to Miss Spivey's camel story: 'We all hung there for a minute, thinking hard' until Mavis had to explain the reference to the three kings. This indicates confusion and uncertainty rather than delight or fascination. The phrase 'thinking hard' suggests they were puzzled and trying to understand the significance of camels.",C,0.1,0.1,0.8,0.0,C,claude-sonnet-4-20250514,sat_en
23,"{
""Reasoning"": ""The passage states that in the early 1990s, textbooks asserted that sensations of pressure and vibration traveled only along myelinated, fast-signaling nerve fibers. It also mentions that experiments blocking fast fibers 'seemed to eliminate the sensation of pressure altogether.' Since vibration was believed to travel exclusively through fast fibers, blocking these fibers would logically impair vibration perception according to 1990s textbook knowledge."",
""Answer"": ""D"",
""A"": 0.05,
""B"": 0.05,
""C"": 0.15,
""D"": 0.75
}",D,True,True,"The passage states that in the early 1990s, textbooks asserted that sensations of pressure and vibration traveled only along myelinated, fast-signaling nerve fibers. It also mentions that experiments blocking fast fibers 'seemed to eliminate the sensation of pressure altogether.' Since vibration was believed to travel exclusively through fast fibers, blocking these fibers would logically impair vibration perception according to 1990s textbook knowledge.",D,0.05,0.05,0.15,0.75,D,claude-sonnet-4-20250514,sat_en
24,"{
""Reasoning"": ""The 1993 experiment by Olausson showed that gentle stroking produced two different signals - one immediate and one delayed. The delayed signal traveled at about 1 meter/second, characteristic of slow, unmyelinated fibers, while fast fibers signal at 35-75 m/s. This directly demonstrated that gentle pressure activates both fast and slow fibers, contradicting the prevailing belief that only fast fibers responded to pressure."",
""Answer"": ""C"",
""A"": ""0.0"",
""B"": ""0.0"", 
""C"": ""1.0"",
""D"": ""0.0""
}",C,True,True,"The 1993 experiment by Olausson showed that gentle stroking produced two different signals - one immediate and one delayed. The delayed signal traveled at about 1 meter/second, characteristic of slow, unmyelinated fibers, while fast fibers signal at 35-75 m/s. This directly demonstrated that gentle pressure activates both fast and slow fibers, contradicting the prevailing belief that only fast fibers responded to pressure.",C,0.0,0.0,1.0,0.0,C,claude-sonnet-4-20250514,sat_en
25,"{
""Reasoning"": ""The passage states that in 1999, Olausson's group 'looked more closely at the characteristics of the slow fibers' and named them 'C-tactile' or CT fibers because of their 'exquisite sensitivity' to slow, gentle tactile stimulation. The experiment aimed to understand what these fibers specifically responded to and their unique characteristics, which aligns with determining the precise nature of sensations CT fibers can convey."",
""Answer"": ""A"",
""A"": ""0.85"",
""B"": ""0.05"",
""C"": ""0.05"",
""D"": ""0.05""
}",A,True,True,"The passage states that in 1999, Olausson's group 'looked more closely at the characteristics of the slow fibers' and named them 'C-tactile' or CT fibers because of their 'exquisite sensitivity' to slow, gentle tactile stimulation. The experiment aimed to understand what these fibers specifically responded to and their unique characteristics, which aligns with determining the precise nature of sensations CT fibers can convey.",A,0.85,0.05,0.05,0.05,A,claude-sonnet-4-20250514,sat_en
26,"{
""Reasoning"": ""The passage states that in normal subjects, both the somatosensory and insular cortices were activated during gentle brushing, but in G.L., only the insular cortex was active. This directly indicates that G.L. differed from other subjects in the number of cortices activated - she had one activated while normal subjects had two activated."",
""Answer"": ""A"",
""A"": ""0.95"",
""B"": ""0.02"",
""C"": ""0.02"",
""D"": ""0.01""
}",A,True,True,"The passage states that in normal subjects, both the somatosensory and insular cortices were activated during gentle brushing, but in G.L., only the insular cortex was active. This directly indicates that G.L. differed from other subjects in the number of cortices activated - she had one activated while normal subjects had two activated.",A,0.95,0.02,0.02,0.01,A,claude-sonnet-4-20250514,sat_en
27,"{
""Reasoning"": ""The passage explains that CT fibers convey emotional quality of touch rather than conscious sensation. The fMRI studies on patient G.L. showed that when CT fibers were activated by gentle brushing, only the insular cortex (which processes emotion) was active, while normal subjects had both somatosensory and insular cortices activated. This demonstrates that CT fibers specifically provide the emotional aspect of touch when stimulated."",
""Answer"": ""B"",
""A"": 0.0,
""B"": 1.0,
""C"": 0.0,
""D"": 0.0
}",B,True,True,"The passage explains that CT fibers convey emotional quality of touch rather than conscious sensation. The fMRI studies on patient G.L. showed that when CT fibers were activated by gentle brushing, only the insular cortex (which processes emotion) was active, while normal subjects had both somatosensory and insular cortices activated. This demonstrates that CT fibers specifically provide the emotional aspect of touch when stimulated.",B,0.0,1.0,0.0,0.0,B,claude-sonnet-4-20250514,sat_en
28,"{
""Reasoning"": ""In Passage 1, Beveridge explicitly states 'It is a noble land that God has given us' and refers to 'a glorious history our God has bestowed upon His chosen people.' He describes the land's resources and vastness as divine providence, emphasizing God's role in granting America its territory and capabilities. The language consistently frames America's resources and size as gifts from God to the American people."",
""Answer"": ""C"",
""A"": 0.05,
""B"": 0.05,
""C"": 0.85,
""D"": 0.05
}",C,True,True,"In Passage 1, Beveridge explicitly states 'It is a noble land that God has given us' and refers to 'a glorious history our God has bestowed upon His chosen people.' He describes the land's resources and vastness as divine providence, emphasizing God's role in granting America its territory and capabilities. The language consistently frames America's resources and size as gifts from God to the American people.",C,0.05,0.05,0.85,0.05,C,claude-sonnet-4-20250514,sat_en
29,"{
""Reasoning"": ""In Passage 2, Bryan argues that 'it was God himself who placed in every human heart the love of liberty' and that God 'never made a race of people so low in the scale of civilization or intelligence that it would welcome a foreign master.' This clearly indicates Bryan views the preference for sovereignty as an innate, God-given drive rather than a learned response to historical events or policies."",
""Answer"": ""D"",
""A"": 0.05,
""B"": 0.15,
""C"": 0.05,
""D"": 0.75
}",D,True,True,"In Passage 2, Bryan argues that 'it was God himself who placed in every human heart the love of liberty' and that God 'never made a race of people so low in the scale of civilization or intelligence that it would welcome a foreign master.' This clearly indicates Bryan views the preference for sovereignty as an innate, God-given drive rather than a learned response to historical events or policies.",D,0.05,0.15,0.05,0.75,D,claude-sonnet-4-20250514,sat_en
30,"{
""Reasoning"": ""Both passages express deep admiration for America's founding principles and historical development. Beveridge praises America's 'glorious history' with Liberty Bell as its keynote, mentioning statesmen who expanded the Republic and calling it 'divinely logical.' Bryan references founding fathers like Patrick Henry, Jefferson, Washington, and Lincoln, praising their speeches and principles. Both authors draw heavily on American historical figures and founding ideals to support their arguments, though they reach opposite conclusions about imperialism."",
""Answer"": ""A"",
""A"": ""0.9"",
""B"": ""0.05"",
""C"": ""0.03"",
""D"": ""0.02""
}",A,True,True,"Both passages express deep admiration for America's founding principles and historical development. Beveridge praises America's 'glorious history' with Liberty Bell as its keynote, mentioning statesmen who expanded the Republic and calling it 'divinely logical.' Bryan references founding fathers like Patrick Henry, Jefferson, Washington, and Lincoln, praising their speeches and principles. Both authors draw heavily on American historical figures and founding ideals to support their arguments, though they reach opposite conclusions about imperialism.",A,0.9,0.05,0.03,0.02,A,claude-sonnet-4-20250514,sat_en
31,"{
""Reasoning"": ""Beveridge (Passage 1) presents American liberty as so exceptional that it justifies expanding American rule to other territories like Hawaii, Puerto Rico, and the Philippines, viewing this as spreading civilization and justice. Bryan (Passage 2) argues that imperial conquest would contradict and weaken the very principles of liberty and self-government that America was founded on, warning that 'we cannot repudiate the principle of self-government in the Philippines without weakening that principle here.' This represents a fundamental disagreement about whether American liberty justifies expansion or would be corrupted by it."",
""Answer"": ""B"",
""A"": 0.1,
""B"": 0.8,
""C"": 0.05,
""D"": 0.05
}",B,True,True,"Beveridge (Passage 1) presents American liberty as so exceptional that it justifies expanding American rule to other territories like Hawaii, Puerto Rico, and the Philippines, viewing this as spreading civilization and justice. Bryan (Passage 2) argues that imperial conquest would contradict and weaken the very principles of liberty and self-government that America was founded on, warning that 'we cannot repudiate the principle of self-government in the Philippines without weakening that principle here.' This represents a fundamental disagreement about whether American liberty justifies expansion or would be corrupted by it.",B,0.1,0.8,0.05,0.05,B,claude-sonnet-4-20250514,sat_en
